DATE,CPIAUCNS
2016-04-01,239.261
2016-05-01,240.229
2016-06-01,241.018
2016-07-01,240.628
2016-08-01,240.849
2016-09-01,241.428
2016-10-01,241.729
2016-11-01,241.353
2016-12-01,241.432
2017-01-01,242.839
2017-02-01,243.603
2017-03-01,243.801
2017-04-01,244.524
