"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"9128282R0","Note","9-Year 11-Month","09/12/2017","09/15/2017","08/15/2027","100.619500"
"9128282R0","Note","10-Year","08/09/2017","08/15/2017","08/15/2027","100.000000"
