"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"9128282L3","Note","9-Year 10-Month","09/21/2017","09/29/2017","07/15/2027","99.354592"
"9128282L3","Note","10-Year","07/20/2017","07/31/2017","07/15/2027","98.936936"
