Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,null,null,null,null,null,null
2012-10-01,100.629997,104.430000,93.839996,98.430000,80.905563,69043500
2012-11-01,98.589996,104.500000,93.510002,103.919998,85.418129,62802000
2012-12-01,104.820000,105.970001,96.510002,98.730003,81.386047,64890300
2013-01-01,100.599998,103.529999,99.699997,102.339996,90.329865,42633600
2013-02-01,102.889999,104.349998,98.949997,101.290001,89.403084,41548000
2013-03-01,100.820000,107.059998,100.260002,106.110001,93.907402,43804300
2013-04-01,106.000000,109.750000,103.199997,108.430000,95.960609,40330300
2013-05-01,108.129997,115.769997,107.720001,109.629997,97.022606,40045500
2013-06-01,109.919998,112.589996,107.379997,110.570000,98.127609,34143100
2013-07-01,111.550003,119.389999,110.059998,117.419998,104.206772,30468900
2013-08-01,118.070000,120.199997,110.190002,111.870003,99.281319,31715100
2013-09-01,112.809998,119.470001,111.349998,115.169998,102.475807,33037000
2013-10-01,115.110001,118.989998,110.150002,118.000000,104.993866,42905200
2013-11-01,118.709999,126.120003,118.550003,125.430000,111.604927,31793400
2013-12-01,125.660004,125.690002,115.849998,119.019997,106.170235,43396100
2014-01-01,118.709999,119.300003,111.129997,112.360001,100.229263,54683000
2014-02-01,112.959999,117.470001,109.500000,116.800003,104.189911,41383300
2014-03-01,116.220001,117.070000,111.150002,111.680000,99.891975,54850200
2014-04-01,112.209999,116.610001,110.360001,115.680000,103.469765,51977100
2014-05-01,115.680000,116.910004,111.610001,116.019997,103.773880,40532600
2014-06-01,115.839996,118.849998,114.510002,115.160004,103.320068,33693000
2014-07-01,115.540001,119.599998,114.900002,117.540001,105.455368,39082200
2014-08-01,117.800003,122.059998,117.110001,121.080002,108.960724,32829300
2014-09-01,121.000000,127.779999,120.900002,125.320000,112.776337,39512400
2014-10-01,125.250000,134.500000,122.050003,133.369995,120.020561,56709800
2014-11-01,133.820007,142.970001,133.369995,142.119995,127.894775,33458700
2014-12-01,143.320007,146.820007,136.550003,141.750000,127.893074,46520400
2015-01-01,141.869995,146.100006,138.220001,142.990005,129.011871,42032800
2015-02-01,144.000000,156.850006,140.130005,146.960007,132.593765,61001700
2015-03-01,147.320007,154.229996,145.779999,151.500000,141.557556,48699300
2015-04-01,151.830002,152.949997,142.539993,143.050003,133.662125,39575300
2015-05-01,143.460007,147.559998,141.529999,142.589996,133.596786,40746500
2015-06-01,143.050003,143.250000,134.729996,135.059998,126.541687,43412100
2015-07-01,135.789993,147.000000,135.059998,145.300003,136.135864,40333900
2015-08-01,145.779999,147.589996,117.029999,140.050003,131.217010,43359500
2015-09-01,137.580002,146.899994,137.500000,144.570007,135.824326,39045800
2015-10-01,144.850006,159.399994,142.190002,158.119995,148.554611,46298200
2015-11-01,158.990005,164.470001,153.229996,161.419998,151.654984,39890700
2015-12-01,162.020004,169.729996,157.330002,161.500000,152.122314,54507800
2016-01-01,159.809998,161.229996,144.910004,151.119995,142.345016,48503700
2016-02-01,150.839996,154.880005,141.619995,150.029999,141.318314,54336400
2016-03-01,150.399994,159.800003,147.100006,157.580002,148.832336,51289900
2016-04-01,157.869995,159.089996,147.460007,148.130005,139.906937,42763900
2016-05-01,148.759995,153.880005,138.570007,148.770004,140.926987,69410800
2016-06-01,150.500000,158.789993,148.550003,157.039993,148.760986,55933500
2016-07-01,157.190002,168.820007,154.669998,167.220001,158.404312,43053800
2016-08-01,167.149994,169.589996,161.149994,162.089996,153.544754,34012900
2016-09-01,159.000000,159.279999,147.199997,152.509995,144.858139,60622100
2016-10-01,152.220001,152.320007,147.100006,147.869995,140.450943,46439300
2016-11-01,148.479996,153.419998,142.110001,150.110001,142.578568,51221500
2016-12-01,150.110001,164.949997,150.110001,160.110001,152.544891,48187800
2017-01-01,160.649994,164.800003,158.509995,163.949997,156.203430,36706400
2017-02-01,163.839996,177.869995,161.809998,177.179993,168.808334,48174200
2017-03-01,177.369995,178.710007,164.100006,167.690002,160.197067,58812800
2017-04-01,167.740005,178.270004,166.110001,177.520004,169.587845,36641800
2017-05-01,178.500000,183.179993,169.059998,180.429993,172.367798,53715200
2017-06-01,180.809998,182.720001,156.559998,159.929993,159.420273,110607900
2017-07-01,160.210007,161.350006,150.000000,158.509995,158.004807,93151400
2017-08-01,159.100006,162.350006,150.059998,156.740005,156.240463,78721800
2017-09-01,157.589996,165.320007,155.029999,164.289993,164.289993,50198600
2017-10-01,164.919998,167.289993,156.539993,157.089996,157.089996,29710200
2017-10-06,159.000000,159.449997,156.550003,157.089996,157.089996,18001579
